Year,Brand,Campaign,Star Date,End Date,TA,Publisher,Reach Fre.,cost,Universe(000),tauv,Market,index,reach,split,IMP Actual
2020,Extra,Extra Y20 P1P2 CNY Campaign,2019/12/29,2020/1/29,P13-35,今日头条,1+,1760000.0,407424.0,30978267.0,national,194,0.07603446777803959,BPI,
2020,Extra,Extra Y20 P1P2 CNY Campaign,2019/12/29,2020/1/29,P13-35,今日头条,1+,0.0,407424.0,25653920.0,national,195,0.06296614828777883,BPI,
2020,Extra,Extra Y20 P1P2 CNY Campaign,2019/12/29,2020/1/29,P13-35,OOH,1+,881132.0,-1.0,-1.0,national,196,0.001,BPI,
2020,Extra,Extra Y20 P7 Music Campaign,2020/6/14,2020/7/17,P13-35,Douyin,1+,218504.0,563776.0,6748001.0,national,199,0.011969294542513338,BPI,
2020,Extra,Extra Y20 P7 Music Campaign,2020/6/14,2020/7/17,P13-35,Douyin,1+,352554.0,563776.0,13255318.0,national,200,0.02351167484958565,BPI,
2020,Extra,Extra Y20 P7 Music Campaign,2020/6/14,2020/7/17,P13-35,TME-QQ Music,1+,5700024.0,250855.0,62713769.0,national,201,0.2500000757409659,BPI,
2020,Extra,Extra Y20 P8P9 Cheering Campaign(IP Co op),2020/6/19,2020/9/30,P13-35,Mango TV,1+,4908000.0,407424.0,93707520.0,national,203,0.23,BPI,
2020,Extra,Extra Y20 P10 Aftermeal Campaign,2020/9/24,2020/11/15,P13-35,Douyin,1+,1388139.0,563776.0,48875375.0,national,205,0.08669289753377228,BPI,
2020,Extra,Extra Y20 P10 Aftermeal Campaign,2020/9/24,2020/11/15,P13-35,Eleme,1+,199045.0,452665.0,4680279.0,national,206,0.010339387847525212,BPI,
2019,DMG,Y19 DMG P2 BPI Alipay,2019/1/30,2019/1/31,P13-35,iQiyi,1+,1000000.0,407424.0,27478287.0,national,208,0.0674439576460886,BPI,
2019,DMG,Y19 DMG P2 BPI Alipay,2019/1/30,2019/1/31,P13-35,iQiyi,1+,0.0,407424.0,3213131.0,national,209,0.007886454897109645,BPI,
2019,DMG,Y19 DMG P3 BPI  Thematic,2019/4/22,2019/5/22,P13-35,Total,1+,5000000.0,407424.0,144272094.0,national,211,0.3541079906927427,BPI,
2019,DMG,Y19 DMG P8P10 BPI After Meal Eleme,2019/6/1,2019/9/30,P13-35,Eleme,1+,4000000.0,407424.0,143745706.0,national,213,0.3528160000392711,BPI,
2019,DMG,Y19 DMG P11 BPI Anlaiye,2019/10/9,2019/10/12,P13-35,Alaiye,1+,214500.0,407424.0,4481664.0,national,215,0.011,BPI,
2019,DMG,Y19 DMG P10 BPI Connection Pack-JDDJ,2019/9/13,2019/9/29,P13-35,JDDJ,1+,500000.0,407424.0,10593024.0,national,217,0.026,BPI,
2019,DMG,Y19 DMG P12 BPI After meal MT+DP,2019/11/15,2019/11/26,P13-35,Dianping+JDDJ,1+,1039430.0,407424.0,12630144.0,national,219,0.031,BPI,
2020,DMG,DMG Y20 P1 CNY Thematic ,2020/1/8,2020/1/28,P13-35,Tencent,1+,5000000.0,407424.0,100144883.0,national,221,0.24580015659362237,BPI,
2020,DMG,DMG Y20 P1 CNY Thematic ,2020/1/8,2020/1/28,P13-35,Tencent,1+,3000000.0,407424.0,112520875.0,national,222,0.2761763543630223,BPI,
